,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CASP14,595.2107622,-2.071282588,0.249581656,-8.299017735,1.05E-16,1.95E-13
CPA4,163.1509907,-2.034091017,0.293885712,-6.921367493,4.47E-12,2.45E-09
RNF40,250.1752208,-1.833579673,0.224941244,-8.151371605,3.60E-16,4.18E-13
SLC2A12,150.0365735,-1.784100557,0.282907758,-6.306297744,2.86E-10,1.11E-07
S100A2,1333.440906,-1.638723628,0.186994259,-8.763497025,1.89E-18,4.40E-15
CDH11,80.01061264,-1.556682708,0.355957193,-4.373230094,1.22E-05,0.001094967
GPX2,65.99547072,-1.548467414,0.388331801,-3.987485466,6.68E-05,0.004113658
SPTSSB,196.4121889,-1.505928194,0.268720574,-5.604067355,2.09E-08,5.26E-06
CLCA2,159.0118904,-1.419959053,0.286506424,-4.956115934,7.19E-07,0.000106185
KCTD3,867.1222038,-1.415515824,0.174137037,-8.128746454,4.34E-16,4.48E-13
MAP2,88.62043987,-1.381894791,0.361236043,-3.825462101,0.000130527,0.00693807
ARL4C,99.21109988,-1.365365851,0.325153895,-4.199137304,2.68E-05,0.001993856
FIGN,63.23873263,-1.300596045,0.391171575,-3.324873608,0.000884586,0.027798721
VAV3,276.6890323,-1.211967763,0.285815405,-4.240386432,2.23E-05,0.001715376
RAB30,87.94925742,-1.198231902,0.345929318,-3.463805576,0.000532591,0.019938701
NNMT,156.4135505,-1.180183778,0.307430692,-3.83886128,0.000123606,0.006654138
IL7R,133.5986886,-1.175477775,0.305584494,-3.846653868,0.000119742,0.006513682
S100A10,5034.067831,-1.170671659,0.156806269,-7.465719734,8.28E-14,5.93E-11
SULT2B1,79.73323551,-1.156573648,0.346145655,-3.341291825,0.000833895,0.026529263
SLC9A6,189.802032,-1.149865931,0.260719595,-4.41035485,1.03E-05,0.000959979
FGFBP1,539.2017011,-1.139823079,0.205083197,-5.557856974,2.73E-08,6.69E-06
STARD4,150.3615754,-1.122591567,0.294822749,-3.807682986,0.000140275,0.007289595
TTLL7,95.86419564,-1.122138062,0.33181851,-3.381782593,0.000720171,0.024628795
FLRT3,186.8691196,-1.093583679,0.26266872,-4.163357096,3.14E-05,0.002218828
AQP3,227.4514699,-1.077163819,0.269660035,-3.994525257,6.48E-05,0.004046933
KRT6A,938.3897257,-1.07714514,0.173927391,-6.193073619,5.90E-10,1.96E-07
MIR205HG,862.4859932,-1.068225021,0.166215494,-6.426747566,1.30E-10,5.27E-08
MTFR1L,97.75928812,-1.055012087,0.339381657,-3.108630254,0.001879568,0.045859931
RPS6KA4,180.4591475,-1.036479306,0.271386914,-3.81919412,0.000133888,0.007036326
SEC23A,533.5145092,-1.036038616,0.183301199,-5.652110406,1.58E-08,4.34E-06
SYT8,91.62024335,-1.032850782,0.331116225,-3.119299818,0.001812814,0.045087688
ARHGEF9,132.9903436,-1.028231969,0.322019703,-3.193071606,0.00140768,0.03932205
ALOX15,99.85815142,-0.997983654,0.316283368,-3.15534661,0.001603075,0.04200509
KRT5,964.4375753,-0.978514513,0.159548975,-6.133004081,8.62E-10,2.73E-07
